date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:52	40332/40332	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Feb%202023%2012:10:13%20GMT	https://shibacore.org/	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/index.html	(from )
12:25:52	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2011:25:53%20GMT	https://shibacore.org/robots.txt		(from )
12:25:53	15406/15406	---M--	200	added ('OK')	image/x-icon	date:Wed,%2001%20Feb%202023%2006:28:06%20GMT	https://shibacore.org/images/favicon.ico	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/favicon.ico	(from https://shibacore.org/)
12:25:54	155845/155845	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/css/bootstrap.min.css	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/bootstrap.min.css	(from https://shibacore.org/)
12:25:54	4918/4918	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/css/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/owl-carousel/owl.carousel.css	(from https://shibacore.org/)
12:25:55	6951/6951	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/css/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/magnific-popup/magnific-popup.css	(from https://shibacore.org/)
12:25:56	23671/23671	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Feb%202023%2016:39:35%20GMT	https://shibacore.org/css/animate.css	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/animate.css	(from https://shibacore.org/)
12:25:57	31000/31000	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/css/font-awesome.min.css	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/font-awesome.min.css	(from https://shibacore.org/)
12:25:58	33508/33508	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/css/export.css	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/export.css	(from https://shibacore.org/)
12:26:00	28101/28101	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/css/line-awesome.min.css	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/line-awesome.min.css	(from https://shibacore.org/)
12:26:00	11437/11437	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/css/mediaelementplayer.min.css	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/mediaelementplayer.min.css	(from https://shibacore.org/)
12:26:01	7028/7028	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/css/timeline.min.css	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/timeline.min.css	(from https://shibacore.org/)
12:26:02	65243/65243	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Feb%202023%2002:53:21%20GMT	https://shibacore.org/css/style.css	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/style.css	(from https://shibacore.org/)
12:26:02	4135/4135	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Feb%202023%2002:54:12%20GMT	https://shibacore.org/css/responsive.css	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/responsive.css	(from https://shibacore.org/)
12:26:03	1/1	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Feb%202023%2016:39:58%20GMT	https://shibacore.org/css/custom.css	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/custom.css	(from https://shibacore.org/)
12:26:06	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/https___shibacore.org_/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://shibacore.org/)
12:26:07	77/77	---MCZ	302	error ('Found')	text/plain	date:Mon,%2006%20Mar%202023%2011:26:08%20GMT	https://unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.js	C:/My%20Web%20Sites/https___shibacore.org_/unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.e.delayed	(from https://shibacore.org/)
12:26:08	367111/367111	---MCZ	200	added ('OK')	application/javascript	etag:%2259a07-9+ZSgdYoXPYwDfF2oh5cz4L42Ds%22	https://unpkg.com/@lottiefiles/lottie-player@1.7.1/dist/lottie-player.js	C:/My%20Web%20Sites/https___shibacore.org_/unpkg.com/@lottiefiles/lottie-player@1.7.1/dist/lottie-player.js	(from https://shibacore.org/)
12:26:19	126598/126598	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202023%2011:58:03%20GMT	https://shibacore.org/images/logo.png	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/logo.png	(from https://shibacore.org/)
12:26:20	13897/13897	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202023%2008:09:31%20GMT	https://shibacore.org/images/icon/burning.png	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/icon/burning.png	(from https://shibacore.org/)
12:26:20	45634/45634	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Feb%202023%2009:45:07%20GMT	https://shibacore.org/images/coin/shibacorecoin.png	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/coin/shibacorecoin.png	(from https://shibacore.org/)
12:26:22	30614/30614	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202023%2008:11:50%20GMT	https://shibacore.org/images/icon/buyback.png	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/icon/buyback.png	(from https://shibacore.org/)
12:26:23	17352/17352	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202023%2009:41:00%20GMT	https://shibacore.org/images/icon/staking.png	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/icon/staking.png	(from https://shibacore.org/)
